Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Caelum               has given Saltus a gold dragon orb.
Caelum               has given Saltus a gold dragon orb.
Caelum               has given Saltus a gold dragon orb.
Caelum               has given Saltus a blue dragon orb.
Caelum               has given Saltus a gold dragon orb.
Kynor                has given Saltus Saltus's leather satchel.
Myrlan               has given priest turath the corpse of a beholder.
priest turath        has given Myrlan an adventurer's belt.
Voluntas             has given Seano Halfling Sheriff a dwarf scout corpse.
Vladaar              has invoked a hunter's bag.
Vladaar              has invoked a hunter's bag.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
High Priest healer Julias has given Weibble a note list.
Shop keeper magical Amelia has given Weibble a red potion bottle.
Shop keeper magical Amelia has given Weibble a glowing blue potion.
Blade Master teacher blademaster Symon has given Weibble a curved dagger.
stable master jonah  has given Weibble a ring with a green gem.
Blade Master Symon BLADEMASTER teacher has given Weibble Jonahs dagger.
Weibble              has given stable master Jonah man Jonahs dagger.
Weibble              has given stable master Jonah man a potion of calming.
Weibble              has given stable master Jonah man the corpse of a sewer rat.
Weibble              has given Seano Halfling Sheriff a dwarf scout corpse.
Kimel                has given Singar a yellow banana.
Kimel                has given Singar a delicious meat pie.
Kimel                has given Singar a delicious meat pie.
Althea               has given Kelledrin a cheese wheel.
Althea               has given Kelledrin a cheese wheel.
Althea               has given Kelledrin a loaf of wheat bread.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
