#VERSION 1

#CELL		0 0
Climate     chapparal~
Hemisphere  southern~
State       14 38 13 13 100 86 1 8
End

#CELL		1 0
Climate     rainforest~
Hemisphere  southern~
State       54 66 78 90 35 80 3 -6
End

#CELL		2 0
Climate     rainforest~
Hemisphere  northern~
State       43 61 80 100 45 75 -22 -32
End

#CELL		3 0
Climate     arctic~
Hemisphere  southern~
State       5 8 13 1 100 -1 -1 -2
End

#CELL		4 0
Climate     desert~
Hemisphere  northern~
State       6 52 10 9 100 52 6 15
End

#CELL		5 0
Climate     arctic~
Hemisphere  northern~
State       16 73 22 14 100 36 5 12
End

#CELL		6 0
Climate     tundra~
Hemisphere  northern~
State       53 8 33 25 58 22 -23 6
End

#CELL		7 0
Climate     chapparal~
Hemisphere  northern~
State       73 0 54 46 66 49 -15 6
End

#CELL		8 0
Climate     grasslands~
Hemisphere  southern~
State       7 0 26 12 100 41 14 14
End

#CELL		9 0
Climate     taiga~
Hemisphere  northern~
State       17 69 13 5 100 -7 -39 -8
End

#CELL		0 1
Climate     chapparal~
Hemisphere  northern~
State       56 100 52 47 72 55 -22 -4
End

#CELL		1 1
Climate     desert~
Hemisphere  southern~
State       15 77 18 6 100 58 -9 -18
End

#CELL		2 1
Climate     chapparal~
Hemisphere  southern~
State       7 100 34 4 100 72 -12 -15
End

#CELL		3 1
Climate     steppe~
Hemisphere  northern~
State       15 37 28 19 100 16 25 19
End

#CELL		4 1
Climate     alpine~
Hemisphere  northern~
State       74 38 45 63 64 -5 -49 -15
End

#CELL		5 1
Climate     chapparal~
Hemisphere  southern~
State       5 58 18 19 94 69 16 0
End

#CELL		6 1
Climate     rainforest~
Hemisphere  northern~
State       51 30 45 92 37 55 23 -12
End

#CELL		7 1
Climate     tundra~
Hemisphere  northern~
State       42 91 41 23 84 32 -57 -52
End

#CELL		8 1
Climate     steppe~
Hemisphere  southern~
State       5 81 21 6 100 57 -25 4
End

#CELL		9 1
Climate     alpine~
Hemisphere  northern~
State       68 80 53 56 69 -11 33 -41
End

#CELL		0 2
Climate     steppe~
Hemisphere  southern~
State       13 25 10 9 100 67 21 -37
End

#CELL		1 2
Climate     desert~
Hemisphere  southern~
State       1 27 10 4 100 61 -18 -12
End

#CELL		2 2
Climate     arctic~
Hemisphere  southern~
State       10 92 8 7 100 22 -6 4
End

#CELL		3 2
Climate     chapparal~
Hemisphere  northern~
State       61 39 46 47 67 41 27 -2
End

#CELL		4 2
Climate     savanna~
Hemisphere  northern~
State       18 18 16 14 92 68 25 1
End

#CELL		5 2
Climate     chapparal~
Hemisphere  southern~
State       8 90 15 6 87 72 -17 13
End

#CELL		6 2
Climate     deciduous_forest~
Hemisphere  northern~
State       56 0 37 39 66 18 5 6
End

#CELL		7 2
Climate     desert~
Hemisphere  southern~
State       8 67 24 0 100 58 15 -23
End

#CELL		8 2
Climate     alpine~
Hemisphere  southern~
State       67 100 51 58 60 29 52 54
End

#CELL		9 2
Climate     grasslands~
Hemisphere  northern~
State       12 39 21 9 100 -12 -19 -31
End

#CELL		0 3
Climate     grasslands~
Hemisphere  southern~
State       14 12 12 2 100 65 -13 34
End

#CELL		1 3
Climate     steppe~
Hemisphere  northern~
State       20 57 13 9 100 29 -2 8
End

#CELL		2 3
Climate     savanna~
Hemisphere  northern~
State       24 53 20 4 100 52 5 2
End

#CELL		3 3
Climate     arctic~
Hemisphere  northern~
State       12 95 19 2 100 36 33 -26
End

#CELL		4 3
Climate     rainforest~
Hemisphere  northern~
State       51 81 41 79 50 61 15 -31
End

#CELL		5 3
Climate     deciduous_forest~
Hemisphere  northern~
State       44 85 33 48 67 36 -24 -7
End

#CELL		6 3
Climate     arctic~
Hemisphere  southern~
State       12 13 20 15 100 14 -23 0
End

#CELL		7 3
Climate     arctic~
Hemisphere  southern~
State       2 35 18 3 100 13 6 -5
End

#CELL		8 3
Climate     rainforest~
Hemisphere  southern~
State       54 18 68 100 41 58 8 19
End

#CELL		9 3
Climate     chapparal~
Hemisphere  northern~
State       63 96 66 53 66 38 2 11
End

#CELL		0 4
Climate     desert~
Hemisphere  northern~
State       13 100 16 5 100 58 17 12
End

#CELL		1 4
Climate     rainforest~
Hemisphere  southern~
State       56 0 32 100 53 59 14 6
End

#CELL		2 4
Climate     steppe~
Hemisphere  northern~
State       6 100 10 16 100 30 -19 -19
End

#CELL		3 4
Climate     steppe~
Hemisphere  southern~
State       0 14 16 11 100 57 25 -26
End

#CELL		4 4
Climate     grasslands~
Hemisphere  northern~
State       19 13 23 0 100 18 9 7
End

#CELL		5 4
Climate     steppe~
Hemisphere  northern~
State       21 6 36 9 100 30 4 -3
End

#CELL		6 4
Climate     deciduous_forest~
Hemisphere  southern~
State       25 75 31 28 100 40 21 27
End

#CELL		7 4
Climate     taiga~
Hemisphere  southern~
State       48 62 40 40 68 43 5 67
End

#CELL		8 4
Climate     deciduous_forest~
Hemisphere  northern~
State       38 49 53 42 63 33 -42 -24
End

#CELL		9 4
Climate     taiga~
Hemisphere  northern~
State       12 0 24 14 100 13 14 2
End

#CELL		0 5
Climate     deciduous_forest~
Hemisphere  northern~
State       43 19 38 40 60 29 36 1
End

#CELL		1 5
Climate     savanna~
Hemisphere  northern~
State       31 88 25 12 94 61 -11 -5
End

#CELL		2 5
Climate     arctic~
Hemisphere  northern~
State       4 16 26 15 100 55 -23 28
End

#CELL		3 5
Climate     deciduous_forest~
Hemisphere  southern~
State       19 9 32 14 100 62 -8 40
End

#CELL		4 5
Climate     alpine~
Hemisphere  northern~
State       73 30 37 55 66 31 -31 18
End

#CELL		5 5
Climate     desert~
Hemisphere  southern~
State       14 100 15 1 100 51 -6 2
End

#CELL		6 5
Climate     rainforest~
Hemisphere  northern~
State       50 69 46 86 36 60 12 30
End

#CELL		7 5
Climate     alpine~
Hemisphere  northern~
State       74 14 39 64 61 25 7 -25
End

#CELL		8 5
Climate     desert~
Hemisphere  northern~
State       7 0 22 8 100 52 -29 -10
End

#CELL		9 5
Climate     rainforest~
Hemisphere  northern~
State       61 55 53 100 45 69 3 2
End

#CELL		0 6
Climate     rainforest~
Hemisphere  southern~
State       43 30 81 81 27 68 -6 2
End

#CELL		1 6
Climate     taiga~
Hemisphere  southern~
State       41 85 39 21 78 33 -48 61
End

#CELL		2 6
Climate     chapparal~
Hemisphere  northern~
State       73 47 47 48 71 56 3 4
End

#CELL		3 6
